"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16435","createComplaintWithPdf","Surefire suite","2026-09-08","passed","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","createComplaintWithPdf"
"","40891","createEmployee","Surefire suite","2026-09-08","passed","2026-09-08","tests.HRMSTest","Surefire test","tests.HRMSTest","createEmployee"
"","45510","createEmployeeWithDuplicateUsername","Surefire suite","2026-09-08","passed","2026-09-08","tests.HRMSTest","Surefire test","tests.HRMSTest","createEmployeeWithDuplicateUsername"
"","208","verifyUserCanLogin","Surefire suite","2026-09-08","passed","2026-09-08","tests.LoginTest","Surefire test","tests.LoginTest","verifyUserCanLogin"
"","26615","rejectComplaintWithJpeg","Surefire suite","2026-09-08","passed","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","rejectComplaintWithJpeg"
"","59323","createAssignAndRejectComplaintWithPdf","Surefire suite","2026-09-08","broken","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","createAssignAndRejectComplaintWithPdf"
"","58619","createAssignAndResolveComplaintWithJpeg","Surefire suite","2026-09-08","broken","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","createAssignAndResolveComplaintWithJpeg"
"","60585","createAssignAndResolveComplaint","Surefire suite","2026-09-08","broken","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","createAssignAndResolveComplaint"
"","17925","createComplaintWithJpeg","Surefire suite","2026-09-08","passed","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","createComplaintWithJpeg"
"","31639","assignComplaint","Surefire suite","2026-09-08","passed","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","assignComplaint"
"","34862","createAssignAndResolveComplaintWithPdf","Surefire suite","2026-09-08","passed","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","createAssignAndResolveComplaintWithPdf"
"","62002","createAssignAndRejectComplaintWithJpeg","Surefire suite","2026-09-08","broken","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","createAssignAndRejectComplaintWithJpeg"
"","52785","createEmployeeWithDuplicateMobile","Surefire suite","2026-09-08","passed","2026-09-08","tests.HRMSTest","Surefire test","tests.HRMSTest","createEmployeeWithDuplicateMobile"
"","21068","resolveComplaintWithPdf","Surefire suite","2026-09-08","passed","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","resolveComplaintWithPdf"
"","16028","resolveComplaint","Surefire suite","2026-09-08","passed","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","resolveComplaint"
"","21937","resolveComplaintWithJpeg","Surefire suite","2026-09-08","passed","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","resolveComplaintWithJpeg"
"","40494","deactivateEmployee","Surefire suite","2026-09-08","passed","2026-09-08","tests.HRMSTest","Surefire test","tests.HRMSTest","deactivateEmployee"
"","1492","navigateToCreateComplaint","Surefire suite","2026-09-08","passed","2026-09-08","tests.HomeTest","Surefire test","tests.HomeTest","navigateToCreateComplaint"
"","44514","assignComplaintWithJpeg","Surefire suite","2026-09-08","passed","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","assignComplaintWithJpeg"
"","62692","createAssignAndRejectComplaint","Surefire suite","2026-09-08","broken","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","createAssignAndRejectComplaint"
"","92651","reactivateEmployee","Surefire suite","2026-09-08","broken","2026-09-08","tests.HRMSTest","Surefire test","tests.HRMSTest","reactivateEmployee"
"","30923","assignComplaintWithPdf","Surefire suite","2026-09-08","passed","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","assignComplaintWithPdf"
"","14442","createComplaint","Surefire suite","2026-09-08","passed","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","createComplaint"
"","6119","verifyNavigationFromHome","Surefire suite","2026-09-08","passed","2026-09-08","tests.LoginTest","Surefire test","tests.LoginTest","verifyNavigationFromHome"
"","57660","editEmployee","Surefire suite","2026-09-08","passed","2026-09-08","tests.HRMSTest","Surefire test","tests.HRMSTest","editEmployee"
"","21343","rejectComplaintWithPdf","Surefire suite","2026-09-08","passed","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","rejectComplaintWithPdf"
"","4025","verifyHomePageElements","Surefire suite","2026-09-08","passed","2026-09-08","tests.LoginTest","Surefire test","tests.LoginTest","verifyHomePageElements"
"","16428","rejectComplaint","Surefire suite","2026-09-08","passed","2026-09-08","tests.ComplaintTest","Surefire test","tests.ComplaintTest","rejectComplaint"
